"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3449","test_register_without_entering_any_fields","test","Sat Mar 15 00:25:10 IST 2025","passed","Sat Mar 15 00:25:14 IST 2025","TestRegister","test_register","",""
"","6631","test_login_with_invalid_email_and_valid_password","test","Sat Mar 15 00:23:27 IST 2025","passed","Sat Mar 15 00:23:33 IST 2025","TestLogin","test_login","",""
"","7737","test_login_with_valid_credentials","test","Sat Mar 15 00:22:37 IST 2025","passed","Sat Mar 15 00:22:45 IST 2025","TestLogin","test_login","",""
"","3726","test_register_with_all_fields","test","Sat Mar 15 00:24:39 IST 2025","passed","Sat Mar 15 00:24:42 IST 2025","TestRegister","test_register","",""
"","3438","test_search_for_valid_product","test","Sat Mar 15 00:25:25 IST 2025","passed","Sat Mar 15 00:25:28 IST 2025","TestSearch","test_search","",""
"","3100","test_register_with_duplicate_email","test","Sat Mar 15 00:24:55 IST 2025","passed","Sat Mar 15 00:24:58 IST 2025","TestRegister","test_register","",""
"","3270","test_register_with_mandatory_fields","test","Sat Mar 15 00:24:24 IST 2025","passed","Sat Mar 15 00:24:27 IST 2025","TestRegister","test_register","",""
"","6755","test_login_with_valid_email_and_invalid_password","test","Sat Mar 15 00:23:46 IST 2025","passed","Sat Mar 15 00:23:53 IST 2025","TestLogin","test_login","",""
"","7579","test_login_without_entering_credentials","test","Sat Mar 15 00:23:04 IST 2025","passed","Sat Mar 15 00:23:12 IST 2025","TestLogin","test_login","",""
"","605","test_search_without_providing_any_product","test","Sat Mar 15 00:25:50 IST 2025","failed","Sat Mar 15 00:25:51 IST 2025","TestSearch","test_search","",""
"","1435","test_search_for_invalid_product","test","Sat Mar 15 00:25:38 IST 2025","passed","Sat Mar 15 00:25:40 IST 2025","TestSearch","test_search","",""
